round_num,grand_prix,constructor,driver,lap,position,tyre_compound,tyre_life,sector_1_time,sector_2_time,sector_3_time,lap_time
1,Australian Grand Prix,Williams,ALB,52,12,SOFT,19,29.582,18.133,37.049,84.764
1,Australian Grand Prix,Williams,ALB,53,12,SOFT,20,29.769,18.199,37.051,85.019
1,Australian Grand Prix,Williams,ALB,54,12,SOFT,21,29.69,18.266,36.905,84.861
1,Australian Grand Prix,Williams,ALB,55,12,SOFT,22,29.747,18.208,37.04,84.995
1,Australian Grand Prix,Williams,ALB,56,12,SOFT,23,29.824,18.321,38.242,86.387
1,Australian Grand Prix,Williams,ALB,57,12,SOFT,24,31.326,18.011,36.931,86.268
1,Australian Grand Prix,Red Bull Racing,VER,1,16,HARD,1,,18.975,39.753,101.333
1,Australian Grand Prix,Red Bull Racing,VER,2,15,HARD,2,31.2,18.005,37.623,86.828
1,Australian Grand Prix,Red Bull Racing,VER,3,14,HARD,3,31.213,18.031,37.852,87.096
1,Australian Grand Prix,Red Bull Racing,VER,4,13,HARD,4,30.547,17.928,38.096,86.571
1,Australian Grand Prix,Red Bull Racing,VER,5,12,HARD,5,29.902,18.36,36.617,84.879
1,Australian Grand Prix,Red Bull Racing,VER,6,11,HARD,6,30.063,17.806,37.099,84.968
1,Australian Grand Prix,Red Bull Racing,VER,7,11,HARD,7,30.335,18.224,36.825,85.384
1,Australian Grand Prix,Red Bull Racing,VER,8,10,HARD,8,29.79,18.051,36.866,84.707
1,Australian Grand Prix,Red Bull Racing,VER,9,10,HARD,9,29.879,17.966,37.226,85.071
1,Australian Grand Prix,Red Bull Racing,VER,10,9,HARD,10,30.036,17.609,37.488,85.133
1,Australian Grand Prix,Red Bull Racing,VER,11,6,HARD,11,29.804,18.006,43.219,91.029
1,Australian Grand Prix,Red Bull Racing,VER,12,6,HARD,12,39.818,27.803,46.593,114.214
1,Australian Grand Prix,Red Bull Racing,VER,13,6,HARD,13,40.5,28.662,45.699,114.861
