round,grand_prix,constructor,driver,lap,position,time
1,Bahrain,Aston Martin,STR,4,19,98.364
1,Bahrain,Haas,HUL,4,20,97.349
1,Bahrain,Red Bull,VER,22,1,95.204
1,Bahrain,Red Bull,PER,22,2,96.037
1,Bahrain,Ferrari,SAI,22,3,96.008
1,Bahrain,Mercedes,RUS,22,4,96.992
1,Bahrain,Ferrari,LEC,22,5,96.796
1,Bahrain,McLaren,NOR,22,6,96.668
1,Bahrain,McLaren,PIA,22,7,96.555
1,Bahrain,Mercedes,HAM,22,8,96.633
1,Bahrain,Aston Martin,ALO,22,9,97.122
1,Bahrain,Kick Sauber,ZHO,22,10,97.852
1,Bahrain,Racing Bulls,TSU,22,11,97.837
1,Bahrain,Aston Martin,STR,22,12,98.175
1,Bahrain,Haas,MAG,22,13,98.147
1,Bahrain,Williams,ALB,22,14,98.031
1,Bahrain,Racing Bulls,RIC,22,15,97.75
1,Bahrain,Alpine,OCO,22,16,98.655
1,Bahrain,Kick Sauber,BOT,22,17,97.998
1,Bahrain,Alpine,GAS,22,18,97.868
1,Bahrain,Haas,HUL,22,19,96.858
1,Bahrain,Williams,SAR,22,20,97.728
1,Bahrain,Red Bull,VER,12,1,97.045
1,Bahrain,Ferrari,SAI,12,2,97.65
1,Bahrain,Red Bull,PER,12,3,100.277
1,Bahrain,McLaren,NOR,12,4,98.082
1,Bahrain,McLaren,PIA,12,5,100.739
1,Bahrain,Aston Martin,ALO,12,6,98.543
1,Bahrain,Mercedes,HAM,12,7,100.889
1,Bahrain,Racing Bulls,TSU,12,8,98.769
1,Bahrain,Williams,ALB,12,9,98.934
1,Bahrain,Racing Bulls,RIC,12,10,98.893
1,Bahrain,Mercedes,RUS,12,11,118.46
1,Bahrain,Alpine,GAS,12,12,101.456
1,Bahrain,Ferrari,LEC,12,13,117.471
1,Bahrain,Kick Sauber,BOT,12,14,103.145
1,Bahrain,Kick Sauber,ZHO,12,15,96.995
1,Bahrain,Aston Martin,STR,12,16,97.175
1,Bahrain,Haas,MAG,12,17,119.682
1,Bahrain,Alpine,OCO,12,18,97.599
1,Bahrain,Haas,HUL,12,19,97.706
1,Bahrain,Williams,SAR,12,20,98.493
1,Bahrain,Red Bull,VER,23,1,95.216
1,Bahrain,Red Bull,PER,23,2,96.249
1,Bahrain,Ferrari,SAI,23,3,96.149
1,Bahrain,Mercedes,RUS,23,4,96.954
1,Bahrain,Ferrari,LEC,23,5,96.987
1,Bahrain,McLaren,NOR,23,6,96.696
1,Bahrain,McLaren,PIA,23,7,96.68
1,Bahrain,Mercedes,HAM,23,8,96.717
1,Bahrain,Aston Martin,ALO,23,9,97.265
1,Bahrain,Kick Sauber,ZHO,23,10,97.788
1,Bahrain,Racing Bulls,TSU,23,11,97.671
1,Bahrain,Aston Martin,STR,23,12,97.826
1,Bahrain,Haas,MAG,23,13,98.293
1,Bahrain,Williams,ALB,23,14,97.869
1,Bahrain,Racing Bulls,RIC,23,15,97.772
1,Bahrain,Alpine,OCO,23,16,98.407
1,Bahrain,Kick Sauber,BOT,23,17,98.18
1,Bahrain,Alpine,GAS,23,18,98.104
1,Bahrain,Haas,HUL,23,19,96.725
1,Bahrain,Williams,SAR,23,20,97.621
1,Bahrain,Red Bull,VER,9,1,97.229
1,Bahrain,Mercedes,RUS,9,2,97.73
1,Bahrain,Red Bull,PER,9,3,97.596
1,Bahrain,Ferrari,LEC,9,4,97.844
1,Bahrain,Ferrari,SAI,9,5,98.03
1,Bahrain,McLaren,NOR,9,6,98.064
1,Bahrain,McLaren,PIA,9,7,98.096
1,Bahrain,Aston Martin,ALO,9,8,98.896
