round,grand_prix,constructor,driver,lap,position,time
2,Saudi Arabia,McLaren,PIA,50,4,92.769
2,Saudi Arabia,Aston Martin,ALO,50,5,92.779
2,Saudi Arabia,Mercedes,RUS,50,6,95.145
2,Saudi Arabia,Ferrari,BEA,50,7,92.186
2,Saudi Arabia,McLaren,NOR,50,8,92.841
2,Saudi Arabia,Mercedes,HAM,50,9,93.314
2,Saudi Arabia,Haas,HUL,50,10,93.081
2,Saudi Arabia,Haas,MAG,50,11,94.603
2,Saudi Arabia,Williams,ALB,50,12,92.307
1,Bahrain,Red Bull,VER,53,1,95.6
1,Bahrain,Red Bull,PER,53,2,95.842
1,Bahrain,Ferrari,SAI,53,3,95.211
1,Bahrain,Ferrari,LEC,53,4,95.48
1,Bahrain,Mercedes,RUS,53,5,95.979
1,Bahrain,McLaren,NOR,53,6,95.782
1,Bahrain,Mercedes,HAM,53,7,95.55
1,Bahrain,McLaren,PIA,53,8,95.739
1,Bahrain,Aston Martin,ALO,53,9,95.249
1,Bahrain,Aston Martin,STR,53,10,96.64
1,Bahrain,Kick Sauber,ZHO,53,11,97.141
1,Bahrain,Haas,MAG,53,12,97.958
1,Bahrain,Racing Bulls,RIC,53,13,96.745
1,Bahrain,Racing Bulls,TSU,53,14,96.838
1,Bahrain,Williams,ALB,53,15,96.308
1,Bahrain,Haas,HUL,53,16,95.994
1,Bahrain,Alpine,OCO,53,17,97.145
1,Bahrain,Alpine,GAS,53,18,95.389
1,Bahrain,Kick Sauber,BOT,53,19,99.035
1,Bahrain,Williams,SAR,53,20,96.088
2,Saudi Arabia,Red Bull,VER,47,1,92.784
2,Saudi Arabia,Red Bull,PER,47,2,92.832
2,Saudi Arabia,Ferrari,LEC,47,3,92.029
2,Saudi Arabia,McLaren,PIA,47,4,92.574
2,Saudi Arabia,Aston Martin,ALO,47,5,92.579
2,Saudi Arabia,Mercedes,RUS,47,6,92.494
2,Saudi Arabia,Ferrari,BEA,47,7,92.583
2,Saudi Arabia,McLaren,NOR,47,8,92.153
2,Saudi Arabia,Mercedes,HAM,47,9,92.106
2,Saudi Arabia,Haas,HUL,47,10,92.379
2,Saudi Arabia,Haas,MAG,47,11,92.338
2,Saudi Arabia,Williams,ALB,47,12,93.858
2,Saudi Arabia,Alpine,OCO,47,13,95.294
2,Saudi Arabia,Racing Bulls,TSU,47,14,93.525
2,Saudi Arabia,Williams,SAR,47,15,93.718
2,Saudi Arabia,Racing Bulls,RIC,47,16,93.323
2,Saudi Arabia,Kick Sauber,BOT,47,17,92.852
2,Saudi Arabia,Kick Sauber,ZHO,47,18,93.207
2,Saudi Arabia,Red Bull,VER,40,1,92.555
2,Saudi Arabia,Red Bull,PER,40,2,92.72
2,Saudi Arabia,Ferrari,LEC,40,3,92.282
2,Saudi Arabia,McLaren,PIA,40,4,92.603
2,Saudi Arabia,Aston Martin,ALO,40,5,92.427
2,Saudi Arabia,Mercedes,RUS,40,6,92.487
2,Saudi Arabia,Ferrari,BEA,40,7,92.607
2,Saudi Arabia,McLaren,NOR,40,8,91.944
2,Saudi Arabia,Mercedes,HAM,40,9,92.37
2,Saudi Arabia,Kick Sauber,ZHO,40,10,93.736
2,Saudi Arabia,Haas,HUL,40,11,92.932
2,Saudi Arabia,Haas,MAG,40,12,92.93
2,Saudi Arabia,Alpine,OCO,40,13,93.716
2,Saudi Arabia,Williams,ALB,40,14,93.424
2,Saudi Arabia,Racing Bulls,TSU,40,15,93.601
2,Saudi Arabia,Williams,SAR,40,16,93.547
2,Saudi Arabia,Racing Bulls,RIC,40,17,93.494
2,Saudi Arabia,Kick Sauber,BOT,40,18,93.175
2,Saudi Arabia,McLaren,NOR,8,1,174.005
2,Saudi Arabia,Red Bull,VER,8,2,189.083
